,No
oesophagoenterostomy,6289
post procedural urine leak,6290
hoarseness,6291
application site discharge,6292
pneumonia parainfluenzae viral,6293
infusion site mobility decreased,6294
horseshoe kidney,6295
vascular pain,6296
anotia,6297
discomfort,6298
fracture displacement,6299
pancreatic cyst,6300
salivary duct obstruction,6301
uterine cervical pain,6302
bladder mass,6303
gaze palsy,6304
varicella zoster virus serology positive,6305
reticulocyte count decreased,6306
brain oedema,6307
suture removal,6308
calculus ureteric,6309
blood folate,6310
pancreatic neoplasm,6311
yersinia bacteraemia,6312
anal neoplasm,6313
neurosyphilis,6314
skin neoplasm excision,6315
mucosal erosion,6316
skin bleeding,6317
zieve syndrome,6318
anterior chamber flare,6319
arthritis fungal,6320
anoplasty,6321
herpes zoster infection neurological,6322
marital problem,6323
trichiasis,6324
shoulder dystocia,6325
antidiuretic hormone abnormality,6326
intracranial meningioma malignant,6327
placental infarction,6328
drug detoxification,6329
tobacco poisoning,6330
uterine stenosis,6331
temperature intolerance,6332
pulmonary venous thrombosis,6333
carcinoma in situ of eye,6334
angiomyolipoma,6335
"hallucinations, mixed",6336
femoral artery occlusion,6337
bipolar disorder,6338
cerebellar haemorrhage,6339
shunt malfunction,6340
renal cancer,6341
late metabolic acidosis of newborn,6342
anticonvulsant drug level below therapeutic,6343
laryngeal stenosis,6344
idiopathic thrombocytopenic purpura,6345
bladder stenosis,6346
parathyroid haemorrhage,6347
stress fracture,6348
pulmonary artery dilatation,6349
leukoaraiosis,6350
iris adhesions,6351
vocal cord cyst,6352
intranasal numbness,6353
positive rombergism,6354
iliac vein occlusion,6355
prostate tenderness,6356
gingival operation,6357
sexual inhibition,6358
disseminated cryptococcosis,6359
ocular retrobulbar haemorrhage,6360
injection site hypersensitivity,6361
moebius ii syndrome,6362
congenital androgen deficiency,6363
androgenetic alopecia,6364
bundle branch block left,6365
fuchs' syndrome,6366
neurogenic bladder,6367
peptic ulcer perforation,6368
blood smear test abnormal,6369
anomaly of external ear congenital,6370
intervertebral disc degeneration,6371
bone development abnormal,6372
superficial spreading melanoma stage i,6373
serratia infection,6374
sleep apnoea syndrome,6375
eyelid retraction,6376
periorbital oedema,6377
radiculitis lumbosacral,6378
urine sodium decreased,6379
labile hypertension,6380
spontaneous haematoma,6381
status asthmaticus,6382
diaphragmalgia,6383
dihydrotestosterone decreased,6384
anti-erythropoietin antibody positive,6385
silent myocardial infarction,6386
liposuction,6387
antinuclear antibody increased,6388
medical device implantation,6389
hyperparathyroidism primary,6390
white blood cell agglutination present,6391
application site pruritus,6392
laryngeal erythema,6393
granulocytopenia neonatal,6394
diabetic ketoacidotic hyperglycaemic coma,6395
skin exfoliation,6396
thirst decreased,6397
creatine urine abnormal,6398
thelitis,6399
allergic oedema,6400
diaphragmatic hernia,6401
type i hypersensitivity,6402
anastomotic ulcer,6403
neurolysis surgical,6404
intrinsic factor antibody negative,6405
graft versus host disease in lung,6406
acquired claw toe,6407
eye rolling,6408
administration site infection,6409
enlarged liver,6410
pancreatic cancer,6411
histoplasmosis,6412
respiratory gas exchange disorder,6413
epilepsy,6414
congenital tricuspid valve incompetence,6415
lacrimal duct procedure,6416
prostatic specific antigen,6417
gastroenteritis norovirus,6418
graft complication,6419
immunosuppressant drug level decreased,6420
csf glucose,6421
congenital aortic atresia,6422
laryngeal ulceration,6423
parasite dna test positive,6424
"reproductive tract hypoplasia, male",6425
testicular cyst,6426
articular calcification,6427
thrombosis in device,6428
bladder inflammation,6429
myoglobinaemia,6430
bullous conditions,6431
pyothorax,6432
disbacteriosis,6433
coma acidotic,6434
pneumococcal sepsis,6435
tooth decalcification,6436
tongue haemorrhage,6437
adrenal disorder,6438
alcohol poisoning,6439
yolk sac tumour site unspecified,6440
delirium,6441
abdominal obesity,6442
blood parathyroid hormone,6443
hypotension orthostatic,6444
jejunal ulcer,6445
long qt syndrome congenital,6446
solar urticaria,6447
acinetobacter bacteraemia,6448
lupus hepatitis,6449
altered bowel function,6450
memory impairment,6451
eosinophil percentage abnormal,6452
anal atresia,6453
oropharyngeal spasm,6454
nerve root injury lumbar,6455
vulval leukoplakia,6456
atrial ectopic beats,6457
pericoronitis,6458
gastric volvulus,6459
swan ganz catheter placement,6460
cholesterosis,6461
poverty,6462
death of parent,6463
omentum neoplasm,6464
joint contracture,6465
corneal infection,6466
urethral dilatation,6467
status epilepticus,6468
vulvovaginal disorder,6469
gallbladder enlargement,6470
caecum operation,6471
lip erosion,6472
dermatitis psoriasiform,6473
pancoast's tumour,6474
abnormal cervical smear,6475
diabetic gastropathy,6476
osteoporosis postmenopausal,6477
rubella in pregnancy,6478
hepatic neoplasm malignant resectable,6479
internal fixation of fracture,6480
lichen planus,6481
prognathism,6482
non-secretory adenoma of pituitary,6483
calcium metabolism disorder,6484
visceral arterial ischaemia,6485
miscarriage of partner,6486
blood count abnormal,6487
pierre robin syndrome,6488
nitrite urine,6489
perihepatic abscess,6490
ebv infection,6491
colpitis,6492
postoperative renal failure,6493
intravenous catheter management,6494
enterocolitis aids,6495
benign breast lump removal,6496
cyst drainage,6497
gingivitis ulcerative,6498
attempted suicide,6499
osteomyelitis drainage,6500
central venous catheter removal,6501
meningitis streptococcal,6502
right ventricular dysfunction,6503
blood chromium increased,6504
blood lactate dehydrogenase abnormal,6505
radial nerve palsy,6506
colitis,6507
tooth impacted,6508
blunted affect,6509
poor quality drug administered,6510
fractured skull depressed,6511
mean arterial pressure increased,6512
meconium increased,6513
sickle cell anaemia,6514
chest pain,6515
nerve stimulation test abnormal,6516
mental disorder,6517
plasmacytoma,6518
angiitis,6519
borderline glaucoma,6520
serum ferritin increased,6521
prolonged pregnancy,6522
poriomania,6523
lymphocyte transformation test positive,6524
detrusor sphincter dyssynergia,6525
dyslipidaemia,6526
korsakoff's psychosis non-alcoholic,6527
prostate cancer metastatic,6528
skull x-ray abnormal,6529
hyphaema,6530
urge incontinence,6531
urethral ulcer,6532
drug delivery device implantation,6533
sinobronchitis,6534
contralateral breast cancer,6535
encephalomalacia,6536
dapsone syndrome,6537
deafness,6538
cardiac perforation,6539
neoplasm,6540
post procedural constipation,6541
blood pressure diastolic decreased,6542
congenital cerebral cyst,6543
hernia repair,6544
ureterostomy site discomfort,6545
conjunctival bleb,6546
electrocardiogram t wave biphasic,6547
mastoid disorder,6548
pulmonary haematoma,6549
aids retinopathy,6550
chitotriosidase increased,6551
kerion,6552
contraindication to medical treatment,6553
erythrodermic psoriasis,6554
ruptured ectopic pregnancy,6555
cheyne-stokes respiration,6556
nasal septum deviation,6557
keratitis sicca,6558
gastrointestinal hypomotility,6559
upper gastrointestinal bleeding,6560
scrotal mass,6561
intraocular pressure increased,6562
ileectomy,6563
choroidal neovascularisation,6564
allergic dermatitis,6565
obliterative bronchiolitis,6566
alpha 1 foetoprotein amniotic fluid abnormal,6567
oesophageal stent insertion,6568
feeling jittery,6569
bladder adenocarcinoma stage unspecified,6570
deaf mutism,6571
puva,6572
left ventricular hypertrophy,6573
nail operation,6574
hyperdynamic left ventricle,6575
embolism,6576
t-cell type acute leukaemia,6577
congenital pulmonary valve disorder,6578
von willebrand's factor antigen increased,6579
alpha 1 foetoprotein amniotic fluid increased,6580
unexpected therapeutic drug effect,6581
biopsy thyroid gland,6582
peliosis hepatis,6583
joint injury,6584
abdominal distension,6585
hand repair operation,6586
rheumatoid nodule,6587
essential tremor,6588
foetal chromosome abnormality,6589
echography abnormal,6590
fecal occult blood,6591
viral pneumonia,6592
urine phosphate decreased,6593
generalised anxiety disorder,6594
asphyxia,6595
blood pressure immeasurable,6596
citrobacter sepsis,6597
diabetes insipidus,6598
atlantoaxial instability,6599
ventricular hypokinesia,6600
extubation,6601
cardiac index increased,6602
vulval cancer,6603
colonic obstruction,6604
renin increased,6605
fallopian tube disorder,6606
immunodeficiency congenital,6607
ectropion of cervix,6608
pericarditis lupus,6609
abnormal sensation in eye,6610
tendon graft,6611
endoscopic retrograde cholangiopancreatography,6612
joint prosthesis user,6613
facet joint syndrome,6614
pharyngitis streptococcal,6615
mastication disorder,6616
myelocyte count increased,6617
"hallucination, visual",6618
embolism infective,6619
oral fungal infection,6620
malignant neoplasm of ampulla of vater,6621
cartilage atrophy,6622
diverticulitis meckel's,6623
circumcision,6624
fat intolerance,6625
cerebral haemangioma,6626
peroneal nerve palsy,6627
haemorrhagic disorder,6628
placental insufficiency,6629
angiosarcoma,6630
csf cell count,6631
bladder injury,6632
velopharyngeal incompetence,6633
fat redistribution,6634
apicectomy,6635
viral pericarditis,6636
kidney small,6637
blood phosphorus increased,6638
ovarian low malignant potential tumour,6639
coronary artery occlusion,6640
necrotising granulomatous lymphadenitis,6641
lymphoma transformation,6642
17-hydroxyprogesterone increased,6643
cerebral arteritis,6644
chest wall cyst,6645
ureteric rupture,6646
gastric ulcer,6647
gastroenteritis shigella,6648
electrocardiogram qt prolonged,6649
neutrophilic dermatosis,6650
septoplasty,6651
staphylococcal skin infection,6652
congenital limb hyperextension,6653
kidney transplant,6654
maternal distress during labour,6655
unemployment,6656
diverticular hernia,6657
protein total,6658
retained products of conception,6659
blood fibrinogen,6660
diaphragmatic rupture,6661
erythema elevatum diutinum,6662
dermatofibrosarcoma,6663
facial bones fracture,6664
iliac artery stenosis,6665
mitral valve repair,6666
bartholin's abscess,6667
carcinoma of the cervix,6668
troponin t,6669
groin abscess,6670
neurological infection,6671
dysplasia,6672
meningitis enterococcal,6673
hypertensive cardiomyopathy,6674
vitamin b6 deficiency,6675
bifidobacterium infection,6676
nasopharyngeal neoplasm benign,6677
procalcitonin,6678
therapeutic response unexpected with drug substitution,6679
hypoaesthesia oral,6680
abdominal wall mass,6681
synovial disorder,6682
intermittent claudication,6683
heart failure signs and symptoms,6684
gouty tophus,6685
duodenectomy,6686
decreased appetite,6687
fluorosis,6688
complement factor decreased,6689
duodenal obstruction,6690
congenital torticollis,6691
carotid bruit,6692
mandibulectomy,6693
shock,6694
deposit eye,6695
choanal atresia,6696
chest expansion decreased,6697
wheezing,6698
circadian rhythm sleep disorder,6699
nuclear magnetic resonance imaging,6700
factor vii deficiency,6701
post procedural cellulitis,6702
salivary gland adenoma,6703
cat scratch disease,6704
anti-thyroid antibody,6705
intestinal operation,6706
ketosis,6707
hypoproteinaemia,6708
ischaemic neuropathy,6709
demyelination,6710
central nervous system lymphoma,6711
fascia release,6712
bone marrow failure,6713
autonomic nervous system imbalance,6714
pseudomeningocele,6715
chapped lips,6716
jc virus infection,6717
medical device change,6718
elevated pacing threshold,6719
areflexia,6720
abscess intestinal,6721
injection site infection,6722
drug-induced liver injury,6723
uterine haematoma,6724
confusion postoperative,6725
bone operation,6726
metastases to nasal sinuses,6727
mucosal inflammation,6728
enzyme inhibition,6729
iridectomy,6730
mucosa vesicle,6731
vesical fistula,6732
self mutilation,6733
cardiac hypertrophy,6734
blood pressure orthostatic abnormal,6735
lung adenocarcinoma stage ii,6736
peripheral nerve decompression,6737
hepatitis b dna assay positive,6738
dialysis,6739
pneumonia aspergillus,6740
injection site phlebitis,6741
dental discomfort,6742
coagulation factor deficiency,6743
polymerase chain reaction,6744
eye oedema,6745
intestinal fistula,6746
elevated triglycerides,6747
lung hernia,6748
nail injury,6749
sedation,6750
croup infectious,6751
conjunctival primary acquired melanosis,6752
pain in throat,6753
surgical failure,6754
hair plucking,6755
nasal dryness,6756
lip blister,6757
aortic dissection,6758
varicose vein ruptured,6759
menstruation delayed,6760
mouth ulcer,6761
bartholin's cyst,6762
senile osteoporosis,6763
complement factor c1 decreased,6764
vulval cancer stage 0,6765
tendinitis,6766
calcium ionised increased,6767
dry skin,6768
ivth nerve paralysis,6769
past-pointing,6770
hypozincaemia,6771
urinoma,6772
carbohydrate metabolism disorder,6773
dyslalia,6774
platelet adhesiveness increased,6775
biopsy bone marrow normal,6776
bacterial test positive,6777
joint dislocation reduction,6778
congenital coronary artery malformation,6779
malignant tumour excision,6780
edema,6781
defaecation urgency,6782
tracheal fistula,6783
congenital endocrine anomaly,6784
uterine mass,6785
crush syndrome,6786
obesity surgery,6787
malignant respiratory tract neoplasm,6788
urinary retention,6789
lipoma of breast,6790
anastomotic ulcer haemorrhage,6791
microlithiasis,6792
postresuscitation encephalopathy,6793
renal fusion anomaly,6794
mass excision,6795
bacterial dna test positive,6796
septic phlebitis,6797
viral myocarditis,6798
eye movement disorder,6799
wrist deformity,6800
sternotomy,6801
spleen disorder,6802
hepatitis b core antigen positive,6803
pleural pain,6804
cardiac valvulopathy,6805
product tampering,6806
skin bacterial infection,6807
pachymeningitis,6808
colposcopy,6809
pseudoparalysis,6810
thought blocking,6811
neonatal hepatomegaly,6812
joint warmth,6813
eating disorder,6814
hypertonia neonatal,6815
duodenal atresia,6816
erosive oesophagitis,6817
mycobacterium marinum infection,6818
platelet aggregation increased,6819
male orgasmic disorder,6820
asperger's disorder,6821
respiratory depth decreased,6822
purpura non-thrombocytopenic,6823
femoral bruit,6824
eosinophilic fasciitis,6825
vena cava embolism,6826
ichthyosis acquired,6827
